#rho	 Pc
 1.000000000000000E-06 -4.894990800849391E-04
 1.010420737937740E-06 -4.959378485636220E-04
 1.020950067654650E-06 -5.021264491625022E-04
 1.031589120757197E-06 -5.080647226196812E-04
 1.042339040644032E-06 -5.137519262226231E-04
 1.053200982628861E-06 -5.191898973819515E-04
 1.064176114064607E-06 -5.243853795538320E-04
 1.075265614468877E-06 -5.293448450019446E-04
 1.086470675650723E-06 -5.340798768336138E-04
 1.097792501838719E-06 -5.386066046145000E-04
 1.109232309810396E-06 -5.429426472108645E-04
 1.120791329023007E-06 -5.471140529675613E-04
 1.132470801745647E-06 -5.511438585051925E-04
 1.144271983192781E-06 -5.550469646501614E-04
 1.156196141659132E-06 -5.588345249023877E-04
 1.168244558655990E-06 -5.625186991588602E-04
 1.180418529048935E-06 -5.661152730859493E-04
 1.192719361197007E-06 -5.696421321707954E-04
 1.205148377093313E-06 -5.731227748774932E-04
 1.217706912507095E-06 -5.765817570658799E-04
 1.230396317127306E-06 -5.800480271838384E-04
 1.243217954707653E-06 -5.835571890917320E-04
 1.256173203213155E-06 -5.871469031382383E-04
 1.269263454968251E-06 -5.908567891594651E-04
 1.282490116806429E-06 -5.947160142570399E-04
 1.295854610221411E-06 -5.987416980644269E-04
 1.309358371519941E-06 -6.029574571304267E-04
 1.323002851976139E-06 -6.073859665952223E-04
 1.336789517987466E-06 -6.120497981360764E-04
 1.350719851232331E-06 -6.169768998139638E-04
 1.364795348829330E-06 -6.221963564169400E-04
 1.379017523498127E-06 -6.277379427444515E-04
 1.393387903722052E-06 -6.336345154343918E-04
 1.407908033912360E-06 -6.399214514527486E-04
 1.422579474574200E-06 -6.466317114420602E-04
 1.437403802474346E-06 -6.537711080814802E-04
 1.452382610810646E-06 -6.613233158518551E-04
 1.467517509383235E-06 -6.692654656949201E-04
 1.482810124767563E-06 -6.775660701867451E-04
 1.498262100489193E-06 -6.861892656870465E-04
 1.513875097200443E-06 -6.950894306865983E-04
 1.529650792858839E-06 -7.042139160684561E-04
 1.545590882907478E-06 -7.134992303934817E-04
 1.561697080457221E-06 -7.228718274070098E-04
 1.577971116470800E-06 -7.322453943025716E-04
 1.594414739948865E-06 -7.415292677077613E-04
 1.611029718117946E-06 -7.506821215517432E-04
 1.627817836620365E-06 -7.597109383140577E-04
 1.644780899706165E-06 -7.686301406820506E-04
 1.661920730427007E-06 -7.774589869925808E-04
 1.679239170832085E-06 -7.862204996437593E-04
 1.696738082166114E-06 -7.949411733918536E-04
 1.714419345069355E-06 -8.036504202061089E-04
 1.732284859779715E-06 -8.123874442280964E-04
 1.750336546336994E-06 -8.211954063995856E-04
 1.768576344789225E-06 -8.301249589413465E-04
 1.787006215401161E-06 -8.392283484947050E-04
 1.805628138864969E-06 -8.485153081360250E-04
 1.824444116513095E-06 -8.579495058278787E-04
 1.843456170533329E-06 -8.674750562323725E-04
 1.862666344186168E-06 -8.770286338833193E-04
 1.882076702024380E-06 -8.865403156588990E-04
 1.901689330114907E-06 -8.959282580651965E-04
 1.921506336263031E-06 -9.050987187985086E-04
 1.941529850238935E-06 -9.139464965259586E-04
 1.961762024006580E-06 -9.223539258110979E-04
 1.982205031954964E-06 -9.301831849576665E-04
 2.002861071131836E-06 -9.372893077741694E-04
 2.023732361479807E-06 -9.436123314829791E-04
 2.044821146074913E-06 -9.492133680910682E-04
 2.066129691367709E-06 -9.541937657952173E-04
 2.087660287426840E-06 -9.586744853816210E-04
 2.109415248185143E-06 -9.627975343866159E-04
 2.131396911688354E-06 -9.667269095279368E-04
 2.153607640346372E-06 -9.706584313146437E-04
 2.176049821187136E-06 -9.748117872603680E-04
 2.198725866113194E-06 -9.794421349908385E-04
 2.221638212160895E-06 -9.848443566826267E-04
 2.244789321762294E-06 -9.913438015935268E-04
 2.268181683009816E-06 -9.991528945023169E-04
 2.291817809923650E-06 -1.008281722916124E-03
 2.315700242721909E-06 -1.018665128652554E-03
 2.339831548093676E-06 -1.030227793767984E-03
 2.364214319474822E-06 -1.042872003786996E-03
 2.388851177326722E-06 -1.056478330972336E-03
 2.413744769417906E-06 -1.070899661899363E-03
 2.438897771108601E-06 -1.085962308740846E-03
 2.464312885638268E-06 -1.101459698581306E-03
 2.489992844416101E-06 -1.117150063979163E-03
 2.515940407314610E-06 -1.132751587168994E-03
 2.542158362966213E-06 -1.148052244731780E-03
 2.568649529062918E-06 -1.162993250945250E-03
 2.595416752659183E-06 -1.177580014044038E-03
 2.622462910477871E-06 -1.191818222455477E-03
 2.649790909219404E-06 -1.205714887717691E-03
 2.677403685874186E-06 -1.219280097559530E-03
 2.705304208038227E-06 -1.232531253741401E-03
 2.733495474232059E-06 -1.245492962297422E-03
 2.761980514223030E-06 -1.258194445905376E-03
 2.790762389350900E-06 -1.270674708016538E-03
 2.819844192856827E-06 -1.282976298809637E-03
 2.849229050215847E-06 -1.295152214785223E-03
 2.878920119472749E-06 -1.307262984583749E-03
 2.908920591581463E-06 -1.319373654601199E-03
 2.939233690748029E-06 -1.331563241680094E-03
 2.969862674777099E-06 -1.343920760991151E-03
 3.000810835422027E-06 -1.356551589981412E-03
 3.032081498738691E-06 -1.369568317089841E-03
 3.063678025442924E-06 -1.383105224040293E-03
 3.095603811271679E-06 -1.397312690653261E-03
 3.127862287348010E-06 -1.412355986393007E-03
 3.160456920549805E-06 -1.428431245257520E-03
 3.193391213882379E-06 -1.445678686861177E-03
 3.226668706854929E-06 -1.464082587133533E-03
 3.260292975860972E-06 -1.483518592589627E-03
 3.294267634562682E-06 -1.503843411062366E-03
 3.328596334279239E-06 -1.524884277327405E-03
 3.363282764379285E-06 -1.546435331563069E-03
 3.398330652677409E-06 -1.568262679057684E-03
 3.433743765834749E-06 -1.590088469442524E-03
 3.469525909763862E-06 -1.611596519198480E-03
 3.505680930037719E-06 -1.632424209408849E-03
 3.542212712302976E-06 -1.652144692423045E-03
 3.579125182697617E-06 -1.670385395171239E-03
 3.616422308272884E-06 -1.687024707169797E-03
 3.654108097419593E-06 -1.702123678720677E-03
 3.692186600298977E-06 -1.715764726934855E-03
 3.730661909277937E-06 -1.728056096475395E-03
 3.769538159368833E-06 -1.739133758441218E-03
 3.808819528673926E-06 -1.749157929024515E-03
 3.848510238834393E-06 -1.758327698767525E-03
 3.888614555483996E-06 -1.766882176327054E-03
 3.929136788707577E-06 -1.775092833255154E-03
 3.970081293504242E-06 -1.783289689821847E-03
 4.011452470255375E-06 -1.791802094736797E-03
 4.053254765197607E-06 -1.800821228366976E-03
 4.095492670900627E-06 -1.810428102182132E-03
 4.138170726750029E-06 -1.820705662331949E-03
 4.181293519435118E-06 -1.831750073989384E-03
 4.224865683441923E-06 -1.843658948432378E-03
 4.268891901551233E-06 -1.856543661906136E-03
 4.313376905341840E-06 -1.870519342596148E-03
 4.358325475699108E-06 -1.885712981537527E-03
 4.403742443328756E-06 -1.902260831858894E-03
 4.449632689275988E-06 -1.920313480674424E-03
 4.496001145450135E-06 -1.940003240233341E-03
 4.542852795154662E-06 -1.961321320302040E-03
 4.590192673622699E-06 -1.984120021969604E-03
 4.638025868558256E-06 -2.008197174638098E-03
 4.686357520682972E-06 -2.033320930625258E-03
 4.735192824288568E-06 -2.059220385618510E-03
 4.784537027795147E-06 -2.085570280903682E-03
 4.834395434315226E-06 -2.111992841608491E-03
 4.884773402223632E-06 -2.138052985658211E-03
 4.935676345733448E-06 -2.163253661134827E-03
 4.987109735477851E-06 -2.187020765983599E-03
 5.039079099098019E-06 -2.208752291255232E-03
 5.091590021837264E-06 -2.228178656775981E-03
 5.144648147141255E-06 -2.245400167654839E-03
 5.198259177264495E-06 -2.260596961394121E-03
 5.252428873883221E-06 -2.273991547794048E-03
 5.307163058714578E-06 -2.285853281254948E-03
 5.362467614142310E-06 -2.296499714583742E-03
 5.418348483848907E-06 -2.306312036825929E-03
 5.474811673454448E-06 -2.315740011252586E-03
 5.531863251162010E-06 -2.325291037421034E-03
 5.589509348409784E-06 -2.335568161508663E-03
 5.647756160530113E-06 -2.347232992041048E-03
 5.706609947415268E-06 -2.360745575465477E-03
 5.766077034190184E-06 -2.376308013343463E-03
 5.826163811892303E-06 -2.394055727751192E-03
 5.886876738158391E-06 -2.414148797997963E-03
 5.948222337918518E-06 -2.436751252186223E-03
 6.010207204097380E-06 -2.462033121763054E-03
 6.072837998322812E-06 -2.490170073018737E-03
 6.136121451641685E-06 -2.521337186249101E-03
 6.200064365243389E-06 -2.555722292791406E-03
 6.264673611190724E-06 -2.593517627949971E-03
 6.329956133158421E-06 -2.634912740719378E-03
 6.395918947179456E-06 -2.679900803176590E-03
 6.462569142399054E-06 -2.728186756063652E-03
 6.529913881836522E-06 -2.779342632377859E-03
 6.597960403155152E-06 -2.832863501294495E-03
 6.666716019440020E-06 -2.888147416205039E-03
 6.736188119983954E-06 -2.944492811875771E-03
 6.806384171081625E-06 -3.001084024314056E-03
 6.877311716832051E-06 -3.056990501774280E-03
 6.948978379949324E-06 -3.111137368201302E-03
 7.021391862581797E-06 -3.162288478546303E-03
 7.094559947139943E-06 -3.209065262679708E-03
 7.168490497132694E-06 -3.250554433071898E-03
 7.243191458012495E-06 -3.286748339627553E-03
 7.318670858029322E-06 -3.318025276609327E-03
 7.394936809093438E-06 -3.344829760985016E-03
 7.471997507647150E-06 -3.367708317236369E-03
 7.549861235545790E-06 -3.387312905764100E-03
 7.628536360947732E-06 -3.404435949253134E-03
 7.708031339213691E-06 -3.420012038573399E-03
 7.788354713815526E-06 -3.435127065020431E-03
 7.869515117254379E-06 -3.451045909394605E-03
 7.951521271988372E-06 -3.469246509866982E-03
 8.034381991370130E-06 -3.490871984149609E-03
 8.118106180593915E-06 -3.516235187532275E-03
 8.202702837652634E-06 -3.545291937502873E-03
 8.288181054304971E-06 -3.577986173169522E-03
 8.374550017052446E-06 -3.614213989618410E-03
 8.461819008126647E-06 -3.653842232948820E-03
 8.549997406486923E-06 -3.696682352523531E-03
 8.639094688828281E-06 -3.742496718174822E-03
 8.729120430599904E-06 -3.790985887151932E-03
 8.820084307034160E-06 -3.841788763061287E-03
 8.911996094186538E-06 -3.894467037844707E-03
 9.004865669986241E-06 -3.948550783806855E-03
 9.098703015297721E-06 -4.003585344496610E-03
 9.193518214993464E-06 -4.059109602715430E-03
 9.289321459037774E-06 -4.114588663804311E-03
 9.386123043581833E-06 -4.169385701960853E-03
 9.483933372070385E-06 -4.222796290217280E-03
 9.582762956359741E-06 -4.274006897197874E-03
 9.682622417847451E-06 -4.322118651111382E-03
 9.783522488613928E-06 -4.366094631022301E-03
 9.885474012575784E-06 -4.404774797445527E-03
 9.988487946651178E-06 -4.436843667312961E-03
 1.009257536193751E-05 -4.461249408137353E-03
 1.019774744490117E-05 -4.478001048576567E-03
 1.030401549857975E-05 -4.487838184044208E-03
 1.041139094379686E-05 -4.491675040984138E-03
 1.051988532038956E-05 -4.490590697543984E-03
 1.062951028844842E-05 -4.485847967178385E-03
 1.074027762957085E-05 -4.478961724190746E-03
 1.085219924812721E-05 -4.471670817091453E-03
 1.096528717254008E-05 -4.465995335224706E-03
 1.107955355657719E-05 -4.464250740336004E-03
 1.119501068065743E-05 -4.469128915459402E-03
 1.131167095317079E-05 -4.483143617109961E-03
 1.142954691181174E-05 -4.507280128092166E-03
 1.154865122492683E-05 -4.541363469865362E-03
 1.166899669287618E-05 -4.585101465664166E-03
 1.179059624940900E-05 -4.638067221854246E-03
 1.191346296305380E-05 -4.699690672455476E-03
